"","U2OS","MCF7","GAMG","LN229","SF295","HEC108","HEC151","HEC251","HEC265","HEC59","HEC6","ISHIKAWAHERAKLIO02ER","JHUEM2","KLE","MFE319","SNGM","AMO1","BL70","EJM","GDM1","HT","KMS11","KU812","LP1","MC116","MOLM16","NOMO1","NUDUL1","OCIAML3","OCILY10","P3HR1","PL21","RPMI8226","SKM1","SUDHL4","SUDHL5","THP1","U937","WSUDLCL2","RCC10RGB","VMRCRCW","C2BBE1","CL34","CL40","COLO205","COLO320","COLO678","CW2","DLD1","GP2D","HCT116","HCT8","HT115","HT29","HT55","KM12","LOVO","LS123","LS180","LS411N","LS513","MDST8","NCIH508","RCM1","RKO","SKCO1","SNU1040","SNU175","SNU61","SNU81","SNUC2A","SNUC4","SNUC5","SW403","SW48","SW480","SW620","SW948","HEPG2","JHH6","SNU398","SNU449","A549","BEN","CAL12T","CALU3","CALU6","CHAGOK1","COLO668","COLO699","CORL23","CORL279","CORL51","CORL88","DMS273","DV90","EBC1","EPLC272H","HARA","HCC1195","HCC1359","HCC15","HCC1833","HCC2108","HCC2935","HCC33","HCC4006","HCC44","HCC78","HCC827","KNS62","LC1SQSF","LCLC103H","LCLC97TM1","LU65","LU99","LXF289","NCIH1048","NCIH1105","NCIH1299","NCIH1355","NCIH1373","NCIH1435","NCIH1437","NCIH1568","NCIH1573","NCIH1666","NCIH1694","NCIH1755","NCIH1781","NCIH1792","NCIH1793","NCIH1836","NCIH1876","NCIH1915","NCIH1930","NCIH1944","NCIH1963","NCIH1975","NCIH2009","NCIH2023","NCIH2029","NCIH2030","NCIH2073","NCIH2081","NCIH2110","NCIH2122","NCIH2126","NCIH2141","NCIH2172","NCIH2286","NCIH23","NCIH2342","NCIH2405","NCIH3255","NCIH358","NCIH441","NCIH460","NCIH522","NCIH596","NCIH650","NCIH661","NCIH727","NCIH810","NCIH82","NCIH841","RERFLCKJ","SCLC21H","SHP77","SKLU1","SQ1","T3M10","VMRCLCD","KYSE140","KYSE410","KYSE450","A2780","CAOV3","COV318","COV362","COV434","COV644","EFO21","EFO27","HEYA8","IGROV1","JHOC5","JHOM1","JHOS4","OAW42","OV7","OV90","OVCAR4","OVCAR8","OVK18","OVKATE","OVMANA","RKN","RMGI","RMUGS","SKOV3","SNU840","TYKNU","CAPAN2","CFPAC1","HPAC","HUPT4","KP3","PANC0327","PANC1005","PATU8902","QGP1","SUIT2","MSTO211H","NCIH2052","NCIH28","PC3","A375","COLO741","G361","HS852T","HS936T","HS944T","SKMEL1","SKMEL28","SKMEL5","G401","HT1080","AGS","FU97","KE97","MKN7","MKN74","NUGC4","SH10TC","HSC2","SCC9","5637","HT1376","KMBC2","RT4","UMUC3"
"teniposide",5.4168,5.3898,NA,5.5322,NA,NA,3.2089,NA,NA,NA,NA,NA,1.1527,NA,NA,NA,4.9313,NA,3.9092,2.3763,NA,3.5077,NA,6.4109,NA,3.8116,2.9694,0.31488,1.3615,6.1247,NA,2.7068,2.9339,0.42376,1.6699,0.18063,1.3487,1.2747,1.0965,7.0283,NA,NA,2.4746,5.2172,NA,6.6434,6.109,5.5266,NA,NA,4.0665,6.7922,5.162,8.4548,5.5732,3.6106,3.0102,6.3253,2.4441,NA,NA,5.2954,5.3768,5.314,4.7826,NA,4.7728,1.6787,5.7474,3.6327,NA,3.6006,3.8205,NA,NA,5.8992,5.2421,3.3069,6.621,NA,4.6056,NA,NA,NA,6.1452,NA,NA,NA,NA,6.2788,5.6888,NA,5.4123,NA,NA,NA,NA,NA,NA,5.6738,7.3397,3.1466,5.3524,5.1149,6.0178,NA,6.0587,NA,NA,5.1087,NA,NA,NA,NA,NA,NA,NA,NA,2.1144,NA,NA,NA,NA,NA,NA,NA,NA,1.9366,5.9834,4.5888,NA,NA,6.72,1.5649,NA,NA,NA,2.3585,NA,NA,5.4048,NA,4.563,3.5106,2.6707,5.0103,5.1479,NA,5.1788,6.6378,NA,NA,5.5864,NA,5.4379,NA,4.8909,4.7958,NA,1.9883,NA,NA,NA,NA,NA,4.5209,NA,4.0344,NA,2.929,6.3104,6.2983,NA,NA,NA,NA,3.1056,3.4682,NA,5.247,4.2796,6.9165,NA,5.2174,NA,4.9962,3.8356,5.8953,NA,6.0793,5.0394,4.8274,5.6983,2.0077,2.3446,2.6447,NA,3.3348,5.3791,5.3781,NA,5.8242,3.7793,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.4428,NA,NA,NA,NA,NA,4.6619,6.6834,5.3774,NA,3.4668,1.8779,NA,NA,NA,NA,NA,NA,NA,4.3254,NA,NA,NA,NA,NA
"ML162",4.3306,4.4572,3.1717,3.8133,NA,3.9162,0.68883,NA,NA,0.62021,NA,2.3046,4.6047,0.93052,NA,1.2105,1.7407,0.13276,0.10833,0.05763,NA,0.28078,NA,0.52467,NA,0.52626,0.062885,0.28152,0.27988,5.9238,NA,0.059708,1.0011,0.071398,0.10294,0.07093,0.52318,1.0535,0.049738,0.054957,NA,NA,5.2753,2.8802,NA,NA,1.5907,2.5747,NA,NA,3.4027,5.5356,5.0134,1.955,5.2395,0.38975,3.0769,0.20928,3.0764,NA,NA,0.45279,0.0638,5.2086,3.8188,NA,2.9958,4.65,3.6151,2.7925,NA,1.1095,1.4027,NA,NA,3.1041,5.1119,0.21195,4.4198,4.9254,1.4385,0.41456,NA,NA,5.2558,NA,NA,NA,0.062434,4.161,0.25512,NA,3.27,NA,NA,NA,NA,NA,NA,0.89994,0.058764,2.4602,1.3896,0.4929,4.9716,NA,1.0762,NA,NA,0.13091,NA,NA,NA,NA,NA,NA,2.2602,NA,2.3475,NA,NA,NA,3.9931,NA,NA,NA,NA,0.1985,2.4878,0.61027,NA,NA,2.9497,0.76213,4.6235,2.6088,NA,0.34112,NA,2.1331,6.6473,NA,6.3008,3.5134,2.7232,4.4818,6.0564,NA,0.92537,6.166,1.067,NA,3.5043,NA,1.5981,NA,0.44036,6.5511,NA,2.9521,NA,NA,NA,NA,NA,1.9721,5.0569,0.10757,NA,2.217,2.2086,2.9611,NA,NA,NA,NA,0.34989,4.871,1.8898,6.0824,0.46722,4.8126,NA,0.077003,NA,0.0522,0.072999,3.582,0.052633,4.6997,2.726,2.691,0.13009,0.11118,0.089734,0.23705,1.1009,0.069508,0.14178,0.11183,NA,0.40243,0.24534,NA,NA,NA,NA,NA,NA,NA,3.7828,NA,NA,NA,NA,NA,0.23172,2.186,NA,NA,0.12201,NA,NA,4.8539,6.4882,5.4628,NA,2.2537,2.5482,NA,NA,NA,3.7254,NA,NA,NA,3.3349,NA,NA,NA,NA,NA
"SN-38",6.1565,5.0787,4.508,5.5708,NA,3.795,1.8425,NA,NA,5.018,NA,2.6754,0.77565,2.1804,NA,4.473,1.254,1.4808,1.0517,0.58503,NA,4.1212,NA,3.9085,NA,0.62087,0.73008,0.28152,0.9733,2.2363,NA,0.52561,2.8347,0.073261,0.90637,0.092173,0.28623,0.76898,0.21298,4.6192,NA,NA,1.8086,4.021,NA,NA,4.6533,3.1784,NA,NA,1.8144,4.9091,4.1075,8.3172,5.1281,3.4089,1.9697,5.5765,1.8454,NA,NA,4.4016,3.2601,1.4351,2.9921,NA,2.6926,1.2194,6.3776,3.5344,NA,2.5436,1.833,NA,NA,4.3434,3.034,4.0123,5.8318,8.0081,3.3235,5.9654,NA,NA,6.1404,NA,NA,NA,0.2587,3.9701,1.8495,NA,3.5128,NA,NA,NA,NA,NA,NA,5.7479,2.3273,3.2562,3.684,3.558,4.4954,NA,5.3209,NA,NA,5.765,NA,NA,NA,NA,NA,NA,2.9508,NA,0.97097,NA,NA,NA,3.6541,NA,NA,NA,NA,0.33399,4.359,1.9812,NA,NA,5.3821,0.46725,4.3725,2.1595,NA,1.73,NA,3.06,4.7067,NA,4.2457,2.8728,1.401,4.6071,3.0556,NA,3.1713,6.8396,0.88512,NA,6.4167,NA,3.5569,NA,3.981,3.5971,NA,2.0647,NA,NA,NA,NA,NA,4.3489,4.638,2.2368,NA,1.2876,3.9175,5.1917,NA,NA,NA,NA,2.9554,0.68174,5.2868,4.8627,3.7449,6.3032,NA,4.3365,NA,3.8589,1.712,4.6605,3.6576,4.2015,2.6331,3.0344,2.4142,0.99683,1.8695,2.0652,5.1383,2.1473,3.7996,3.8228,NA,5.6426,1.1365,NA,NA,NA,NA,NA,NA,NA,4.5205,NA,NA,NA,NA,NA,2.9556,2.3239,NA,NA,5.4277,NA,NA,3.9373,7.2151,3.8132,NA,3.6961,1.9111,NA,NA,NA,4.9841,NA,NA,NA,4.18,NA,NA,NA,NA,NA
"ciclosporin",6.5067,4.9499,6.6908,6.0132,6.5793,5.1632,3.0588,5.9616,4.049,6.9512,5.351,5.5559,5.8277,5.7702,4.197,6.5136,6.955,3.1157,6.2676,3.9957,5.1842,4.7626,4.8146,3.8753,6.1448,4.5512,4.5491,8.9546,4.7264,6.1291,6.5991,4.4335,4.3557,4.7153,6.6034,5.6438,5.685,4.4868,5.5607,7.334,5.2077,4.1141,7.0599,6.2207,5.9414,3.5263,5.5391,5.2379,6.0145,4.4248,5.6806,3.9187,4.4255,6.8706,6.6669,4.9979,5.8828,6.8751,5.2384,7.3099,4.5849,6.9361,4.8184,6.1577,7.4178,5.051,5.7811,4.3769,6.7111,5.8554,4.6814,3.588,5.8686,6.1681,2.5516,6.1421,6.6707,4.1066,8.1544,7.4104,6.0054,5.6179,5.2182,5.7425,5.4367,5.7529,5.7827,4.5687,4.4725,6.0796,7.5403,3.9267,8.3769,6.0036,5.5606,7.3174,4.5848,5.1705,5.2831,5.8099,8.7104,5.4996,5.6363,6.4606,5.9754,5.1451,5.4658,5.407,4.2518,6.5778,4.7937,4.358,6.3575,3.7605,6.0697,5.701,3.9238,4.3992,7.618,4.7789,4.9641,4.0418,4.4575,5.9692,4.4676,3.5581,5.2457,5.3956,6.0965,6.9304,3.9972,5.8887,5.8612,6.325,6.1016,4.7203,4.7628,3.9124,4.946,5.199,5.5551,4.4696,6.523,5.0612,5.7686,4.8083,4.7884,4.983,6.0847,6.367,5.8382,5.2409,5.0065,5.8169,4.9204,4.1499,5.0669,6.6528,5.9366,5.3192,6.7256,6.0083,6.0746,4.7527,4.4406,6.5098,6.742,4.1854,3.7229,5.9513,6.4991,3.1902,3.6681,4.7795,4.7364,5.7051,6.0251,6.1366,7.0739,5.8314,4.945,5.9463,6.7472,6.8644,6.0885,6.0113,6.207,6.9134,5.0745,6.9038,6.7332,5.4504,4.1685,5.998,6.0003,5.889,5.6531,6.9157,5.2881,4.8653,6.8886,5.9715,6.1199,4.36,5.1864,6.0613,5.4315,4.5117,5.4899,5.4046,5.3342,5.2889,6.4552,2.3465,5.9213,5.3327,5.023,6.4709,4.4789,4.9927,4.8911,5.4791,6.1122,6.7833,7.4492,7.0891,5.0997,7.0438,6.23,5.3605,4.9652,6.3207,5.5666,4.6155,5.9832,4.9199,6.5286,5.5328,5.8547,5.5209,3.8342,6.4965
"PK-11195",6.2055,4.1468,NA,4.3293,NA,NA,3.4769,NA,NA,NA,NA,NA,4.6438,NA,NA,NA,6.0608,NA,4.4538,3.1761,NA,3.634,NA,3.0465,NA,4.044,3.3951,4.7162,3.4547,5.4826,NA,3.3183,4.2894,4.0524,5.4925,4.909,4.4612,3.4818,4.656,4.6952,NA,NA,5.8814,6.0487,NA,4.8391,4.8136,3.5818,NA,NA,4.5856,4.9887,4.5714,5.9047,5.4209,5.4723,4.9771,5.6344,4.8748,NA,NA,5.2714,4.9453,4.9567,4.9784,NA,5.4488,4.2943,4.5684,4.5785,NA,4.539,4.3043,NA,NA,3.6856,4.4494,5.0902,6.1921,NA,4.6152,NA,NA,NA,4.8065,NA,NA,NA,NA,4.0493,6.4089,NA,5.4047,NA,NA,NA,NA,NA,NA,5.4065,4.7339,4.8462,4.1543,4.3844,5.0544,NA,5.0209,NA,NA,5.9337,NA,NA,NA,NA,NA,NA,NA,NA,4.8644,NA,NA,NA,NA,NA,NA,NA,NA,5.2283,5.5496,5.0608,NA,NA,4.3384,5.2746,NA,NA,NA,3.5028,NA,NA,5.2548,NA,5.3831,4.7588,4.612,5.6439,4.6289,NA,5.129,4.8621,NA,NA,4.3026,NA,5.1582,NA,4.2603,5.7542,NA,4.4486,NA,NA,NA,NA,NA,4.8498,NA,4.4669,NA,5.3356,6.1219,4.291,NA,NA,NA,NA,4.2862,5.3071,NA,6.8424,2.8733,5.1108,NA,5.3715,NA,5.0375,5.6765,4.8059,NA,6.3457,5.832,4.3037,3.6276,3.647,3.756,4.9731,NA,5.3979,5.0274,3.7945,NA,4.9329,5.1867,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.3153,NA,NA,NA,NA,NA,5.7746,6.4425,5.3238,NA,5.497,4.6483,NA,NA,NA,NA,NA,NA,NA,5.5699,NA,NA,NA,NA,NA
"isoevodiamine",5.3211,3.9038,4.888,4.249,NA,3.203,1.7653,NA,NA,5.9948,NA,3.2559,1.3852,3.7449,NA,3.2476,2.2064,1.6143,2.4788,1.2644,NA,1.1609,NA,3.7678,NA,0.60247,3.4144,0.45869,1.3582,5.3085,NA,1.5641,1.6914,0.15628,3.0128,1.1226,2.0831,0.53516,0.62918,4.6221,NA,NA,4.3673,5.4969,NA,NA,6.4928,3.5141,NA,NA,3.6565,5.4449,3.3902,5.9742,5.4556,3.0072,3.3317,5.3545,2.0795,NA,NA,4.4467,3.6475,4.7934,3.4406,NA,3.9773,2.1704,4.2318,3.2603,NA,2.232,3.2301,NA,NA,5.3996,3.6076,3.3217,6.6708,6.87,3.076,4.5754,NA,NA,5.2367,NA,NA,NA,3.6099,3.8753,5.2057,NA,2.7784,NA,NA,NA,NA,NA,NA,6.0401,5.6809,3.6376,5.1334,3.7121,5.6625,NA,2.6321,NA,NA,4.9246,NA,NA,NA,NA,NA,NA,3.9271,NA,4.5363,NA,NA,NA,5.1768,NA,NA,NA,NA,4.5042,4.4403,4.6177,NA,NA,3.7804,1.7909,5.919,3.9886,NA,3.9169,NA,3.4672,6.1196,NA,4.8228,4.3271,3.4722,5.2253,3.0919,NA,3.4252,5.5316,3.3646,NA,6.4378,NA,3.8146,NA,5.1811,5.4652,NA,3.2214,NA,NA,NA,NA,NA,2.023,5.9949,3.7016,NA,4.5078,5.1544,4.6324,NA,NA,NA,NA,3.2666,3.575,6.225,5.4107,4.8115,5.7298,NA,5.1051,NA,4.8928,4.0495,2.943,2.8682,5.9154,5.8262,4.663,2.4473,2.3,2.8229,3.1797,5.8379,3.8095,3.9001,2.9935,NA,5.5018,4.3694,NA,NA,NA,NA,NA,NA,NA,4.9951,NA,NA,NA,NA,NA,4.2793,3.2187,NA,NA,3.863,NA,NA,4.4554,7.568,4.7166,NA,4.1671,2.3461,NA,NA,NA,4.8483,NA,NA,NA,4.9528,NA,NA,NA,NA,NA
"idarubicin",6.5709,6.128,4.6048,5.53,NA,5.7756,2.865,NA,NA,6.4207,NA,4.7024,1.0432,3.5269,NA,5.6193,4.8093,4.0068,6.8114,4.3378,NA,3.529,NA,6.457,NA,6.1169,3.2813,0.54166,3.4527,5.8107,NA,4.7912,5.8606,2.5723,5.664,0.64909,3.6296,5.0429,3.3461,6.9587,NA,NA,3.9311,5.2932,NA,NA,6.8555,5.3937,NA,NA,5.8322,7.1696,4.9028,8.261,7.317,4.1281,5.0942,6.7134,3.5419,NA,NA,6.2905,5.8356,6.419,5.8639,NA,6.5755,1.9776,6.4411,4.214,NA,3.2933,4.628,NA,NA,6.6273,6.3477,4.1056,7.0123,8.0673,6.1999,6.342,NA,NA,7.2911,NA,NA,NA,5.3976,7.2775,6.9111,NA,6.2098,NA,NA,NA,NA,NA,NA,6.909,7.9412,5.2835,5.9586,6.0674,6.8382,NA,6.936,NA,NA,6.5079,NA,NA,NA,NA,NA,NA,3.6364,NA,6.0886,NA,NA,NA,6.116,NA,NA,NA,NA,6.6642,7.1775,5.5082,NA,NA,6.7532,6.3183,6.5157,4.5415,NA,3.2226,NA,2.96,7.0567,NA,7.0634,4.5392,6.4183,5.2976,5.7024,NA,6.1467,6.7746,3.9996,NA,6.1041,NA,5.9413,NA,6.4383,5.058,NA,3.6947,NA,NA,NA,NA,NA,6.3967,6.3768,4.1524,NA,4.7829,6.9013,6.9851,NA,NA,NA,NA,3.5106,6.0998,6.5457,5.7843,3.3874,7.5965,NA,6.3112,NA,5.5856,4.0663,5.9359,5.1553,7.4196,6.0375,6.3444,4.7746,2.3075,4.6769,3.2518,5.8477,5.9712,5.6933,6.097,NA,6.1849,5.0576,NA,NA,NA,NA,NA,NA,NA,5.6585,NA,NA,NA,NA,NA,5.0672,3.5368,NA,NA,5.7584,NA,NA,6.1076,6.5914,6.7005,NA,5.6657,2.0704,NA,NA,NA,6.4473,NA,NA,NA,6.7152,NA,NA,NA,NA,NA
"Compound 44",5.6399,4.1117,NA,5.3488,NA,NA,2.3693,NA,NA,NA,NA,NA,3.7832,NA,NA,NA,6.278,NA,4.9951,3.7773,NA,3.0465,NA,3.1433,NA,3.6065,3.9868,4.4247,5.7318,5.6563,NA,3.7743,2.9102,3.5072,4.4159,2.5908,4.4091,4.6759,3.1593,4.9443,NA,NA,6.2746,6.6417,NA,3.4292,5.9341,4.0941,NA,NA,5.1371,6.4033,6.0251,6.0427,5.9094,4.9767,5.6755,5.1769,4.9771,NA,NA,5.9234,6.5031,4.9446,6.7587,NA,5.3069,4.9,4.7547,3.1219,NA,4.9084,3.0333,NA,NA,1.8014,2.689,4.2386,5.1124,NA,3.4441,NA,NA,NA,4.4939,NA,NA,NA,NA,4.239,5.0754,NA,6.2059,NA,NA,NA,NA,NA,NA,4.2454,5.7749,5.5791,4.1407,2.9756,5.0533,NA,5.0666,NA,NA,4.7872,NA,NA,NA,NA,NA,NA,NA,NA,4.4153,NA,NA,NA,NA,NA,NA,NA,NA,3.4178,5.2957,4.3938,NA,NA,4.3073,4.0376,NA,NA,NA,2.4688,NA,NA,3.7001,NA,2.8981,4.3655,3.3598,4.6897,5.7861,NA,4.6418,3.6507,NA,NA,2.836,NA,4.6932,NA,5.4733,6.1113,NA,5.3833,NA,NA,NA,NA,NA,2.4031,NA,4.912,NA,5.5065,6.2545,5.2562,NA,NA,NA,NA,3.8028,5.8899,NA,5.6874,1.2318,6.2057,NA,4.8336,NA,4.8811,4.3648,3.4938,NA,5.6499,5.836,4.7197,3.3587,2.6923,3.0996,3.1261,NA,4.4697,4.002,4.6942,NA,4.4112,4.5062,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.0687,NA,NA,NA,NA,NA,6.785,6.6862,5.2089,NA,4.6511,3.7553,NA,NA,NA,NA,NA,NA,NA,4.6785,NA,NA,NA,NA,NA
"blebbistatin",6.3789,6.6471,NA,5.5902,NA,NA,5.8923,NA,NA,NA,NA,NA,3.5957,NA,NA,NA,6.927,NA,6.0923,3.6435,NA,6.1524,NA,4.593,NA,2.9733,3.6979,5.5126,4.8561,5.0946,NA,5.2375,6.5446,4.1003,6.5317,4.9003,5.8893,4.208,6.5919,7.8108,NA,NA,6.1491,6.4933,NA,4.2772,6.8211,6.2717,NA,NA,5.9686,6.6118,6.2847,7.0896,7.6607,7.7229,7.0223,7.216,6.5853,NA,NA,7.6354,6.6919,5.6417,6.7025,NA,4.9255,4.7322,7.154,5.4897,NA,4.0292,6.896,NA,NA,6.1613,5.3514,3.75,7.848,NA,4.4626,NA,NA,NA,6.2999,NA,NA,NA,NA,5.3906,6.844,NA,5.7977,NA,NA,NA,NA,NA,NA,6.5711,8.7663,5.3012,6.2855,5.785,7.2533,NA,6.0337,NA,NA,6.9495,NA,NA,NA,NA,NA,NA,NA,NA,6.2267,NA,NA,NA,NA,NA,NA,NA,NA,5.7331,5.6379,5.5862,NA,NA,7.0535,6.0354,NA,NA,NA,2.4513,NA,NA,6.5554,NA,6.8625,4.1172,4.3359,5.7173,6.4182,NA,7.3283,5.8409,NA,NA,6.3648,NA,4.8035,NA,7.1202,7.0879,NA,4.9155,NA,NA,NA,NA,NA,3.8817,NA,6.4303,NA,6.1763,6.9155,6.9303,NA,NA,NA,NA,5.6913,6.1215,NA,6.8003,5.3315,6.6075,NA,6.7085,NA,5.6738,6.5886,5.2921,NA,7.6477,6.5412,5.0768,4.7082,4.9668,5.0434,4.1492,NA,6.3857,6.5898,5.7643,NA,6.6511,5.7762,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.2186,NA,NA,NA,NA,NA,6.2439,6.9185,7.0159,NA,6.4447,5.2983,NA,NA,NA,NA,NA,NA,NA,7.1697,NA,NA,NA,NA,NA
"myriocin",6.6982,6.489,6.6344,6.7052,NA,6.7943,6.125,NA,NA,6.5484,NA,6.991,6.6588,6.9503,NA,6.5563,9.0485,7.2907,7.1223,5.9619,NA,6.3551,NA,7.0197,NA,6.4851,6.086,6.6116,4.9628,5.7783,NA,6.1177,6.6694,6.7065,6.9426,7.1364,6.3683,7.2508,7.0909,6.766,NA,NA,7.1488,5.918,NA,5.7602,6.1,6.8333,NA,NA,6.9594,7.074,6.9373,7.3368,6.7692,7.1143,6.5447,6.4469,4.8049,NA,NA,6.6936,7.5943,6.8862,6.7396,NA,7.1251,7.6063,7.0377,7.0059,NA,2.9628,6.8857,NA,NA,6.9962,6.9812,5.902,7.3076,7.1664,6.169,5.2605,NA,NA,7.1989,NA,NA,NA,5.9011,6.6687,7.0708,NA,7.7449,NA,NA,NA,NA,NA,NA,7.2376,7.3697,6.3046,6.9387,6.9417,6.8346,NA,6.6573,NA,NA,6.7905,NA,NA,NA,NA,NA,NA,6.6591,NA,9.4451,NA,NA,NA,5.3367,NA,NA,NA,NA,6.9603,7.05,6.266,NA,NA,7.3369,6.6382,6.9476,7.8227,NA,5.3143,NA,NA,6.8645,NA,6.9946,6.1223,7.2374,7.4726,7.2049,NA,6.3467,6.7553,7.1202,NA,7.4688,NA,7.4333,NA,7.007,7.0748,NA,6.8024,NA,NA,NA,NA,NA,6.7305,7.1854,7.0255,NA,6.8606,7.1635,6.5535,NA,NA,NA,NA,7.2426,6.7502,7.0737,6.287,6.7865,6.4462,NA,7.1394,NA,6.6363,6.4432,6.396,6.3773,8.1179,6.6054,6.8969,5.7467,6.5461,6.5051,4.6618,6.8741,7.1139,5.6216,5.3516,NA,6.1093,7.1022,NA,NA,NA,NA,NA,NA,NA,6.9165,NA,NA,NA,NA,NA,6.0786,6.9323,NA,NA,7.1158,NA,NA,6.3676,7.0426,7.2378,NA,6.5854,7.1596,NA,NA,NA,7.0058,NA,NA,NA,6.8684,NA,NA,NA,NA,NA
"etoposide",5.5127,5.6292,4.9152,5.5573,NA,5.7044,3.5043,NA,NA,6.3736,NA,4.1984,1.2853,3.1382,NA,5.4114,4.324,3.3018,3.4951,2.4219,NA,3.7541,NA,5.4465,NA,3.5287,2.2521,0.32446,1.445,4.4554,NA,2.144,3.0567,0.36474,1.7251,0.15881,1.3974,1.1404,1.033,7.392,NA,NA,2.8198,5.8007,NA,6.9245,6.4892,5.8263,NA,NA,4.2263,6.6973,5.4755,8.0779,5.999,4.0656,3.3211,6.5571,2.7592,NA,NA,5.4884,5.4047,5.567,4.9387,NA,5.3634,1.3161,6.1641,3.3476,NA,3.9017,4.1869,NA,NA,6.0754,5.0594,3.7905,6.3969,8.5506,4.5972,7.0262,NA,NA,6.1766,NA,NA,NA,3.2797,6.3935,6.0736,NA,4.2598,NA,NA,NA,NA,NA,NA,5.2389,7.4302,3.5694,5.8089,5.4084,6.3091,NA,5.9556,NA,NA,5.5954,NA,NA,NA,NA,NA,NA,3.4695,NA,2.3798,NA,NA,NA,6.0624,NA,NA,NA,NA,1.1871,6.2797,4.8227,NA,NA,6.8093,1.1307,6.6031,3.646,NA,1.9308,NA,NA,5.3988,NA,4.9534,3.8468,2.7602,4.8689,5.2529,NA,4.1057,6.6129,2.7893,NA,5.8856,NA,5.6004,NA,5.249,5.0465,NA,2.0324,NA,NA,NA,NA,NA,4.6672,5.4841,4.1754,NA,3.1944,6.2329,6.4565,NA,NA,NA,NA,3.2483,2.8884,6.3829,5.5218,4.6487,7.5008,NA,5.1543,NA,4.9681,3.6507,5.7059,5.5307,6.1481,5.4385,4.6126,6.2691,2.1947,2.2041,2.7996,6.1867,3.3763,6.0626,5.6405,NA,6.1721,3.6808,NA,NA,NA,NA,NA,NA,NA,5.6063,NA,NA,NA,NA,NA,5.4904,3.7341,NA,NA,5.537,NA,NA,4.4695,6.4565,5.4272,NA,3.6549,2.0186,NA,NA,NA,6.7452,NA,NA,NA,4.0612,NA,NA,NA,NA,NA
"oligomycin A",5.0611,3.4021,5.4043,4.1248,3.4139,3.7692,0.68911,4.7859,3.4408,3.568,3.6028,3.9778,3.7383,4.1767,4.0162,4.686,2.7813,0.14406,3.6499,1.6899,0.72455,3.9679,0.17777,2.5107,1.8902,0.20981,1.5633,0.28152,2.2918,6.7779,1.2701,1.5822,3.0863,2.2181,4.7739,0.19507,1.4711,2.8626,4.0274,3.3914,4.6183,3.1419,3.9828,6.0995,3.7064,3.7795,5.8553,1.1939,3.2376,3.0605,3.4915,4.2325,5.5651,7.2054,2.8392,4.6577,2.4131,4.4667,2.7649,2.2673,1.3773,6.295,3.8588,4.8979,5.4399,2.1698,3.4533,0.52339,4.5774,3.5298,3.5977,1.4557,1.7497,3.7979,3.5917,0.67801,0.088369,2.2812,5.4618,5.8127,3.2265,3.3559,2.1294,2.8476,3.0705,3.2444,1.9996,2.514,2.1357,3.7592,7.5861,1.7339,3.6611,3.6823,1.3786,3.4209,3.6015,2.772,2.347,5.7166,7.3742,2.9809,2.3308,4.8589,4.5836,1.9947,3.8796,2.6305,3.1497,6.5526,4.7157,3.415,3.6585,2.504,0.80735,1.1254,3.2371,3.1968,3.084,2.5278,4.1159,3.3164,5.2077,2.3916,2.2906,4.7988,4.3249,3.0157,5.7786,3.0167,3.383,3.6781,3.0354,3.6637,6.1585,1.9125,1.6623,0.6882,3.1644,5.4573,5.4928,1.4441,4.709,3.5012,4.9035,4.8103,5.8708,3.0493,6.304,3.2121,4.7768,2.232,3.3487,4.9185,4.3467,4.2107,5.5236,6.4414,2.5759,4.0807,6.0414,3.2299,2.6746,2.4501,1.0125,2.6211,4.5791,1.3099,1.7248,1.2567,6.7873,4.5023,0.82576,2.0719,3.0974,4.168,3.2245,5.5346,5.8972,7.2683,1.1599,5.0514,5.0629,4.974,3.9096,5.4856,4.6261,4.8459,4.5059,9.5067,7.1923,3.3775,2.8116,3.249,2.3846,3.7396,5.6276,5.2731,5.2952,2.9983,5.708,4.7956,4.6555,5.1564,4.6625,4.0604,2.7952,3.9589,4.9325,2.7168,3.8651,3.5677,4.3941,1.6423,5.0206,3.0372,4.455,6.6146,3.7291,2.6625,4.6798,5.6756,4.9574,4.082,0.12841,2.3088,1.3717,0.93235,5.203,2.6543,1.9551,5.2533,3.5173,2.9925,4.8952,4.2112,7.4914,3.1905,2.6821,3.5742,1.0516,1.1114
